old_file_path,new_file_path,commit_SHA,parent_commit_SHA,commit_message,diff_histogram,old_file_MCC,new_file_MCC
tests/test_geocoder.py,test_geocoder.py,5585722e1fdf5ce5c7929c698ed6a467e7167804,30f753b3c185485221e12133177559aae13a5ede,"added test_google_for_work() in test_geocoder.py

test_google() now explicitly sets the `client` to None so that the value is not taken from local environment variables.",,26,27
geocoder/google.py,google.py,84ef530bf384d2c12dd2705a6a7755be7c084ae1,0720d3fad3858286b5296e4374f95fd076d78d63,fix _sign_url in google.py,,46,46
tests/test_geocoder.py,test_geocoder.py,46c8386ca5b755aaa025d6d343a2fe0175f00f49,87cd1609d85c6a990469466cb64f62ab74c753fe,Fixed Pep8 syntax issues,,27,27
geocoder/google.py,google.py,6c6df0c21d3c4efc633776758688e8eb205dac65,46c8386ca5b755aaa025d6d343a2fe0175f00f49,import urllibparse with PY3,,46,47
geocoder/bing.py,bing.py,b0bc8e49b0d5895b20e75dbd2311f8d84fc7da59,6c6df0c21d3c4efc633776758688e8eb205dac65,"fix for when there is an accent in the *result*

`geocoder.bing('1 rue bergere, paris',key=bing_key)`
used to trigger error
`UnicodeEncodeError: 'ascii' codec can't encode character...`",,25,25
geocoder/bing.py,bing.py,d2eec248d0202b1c9e104159f55509bc0386b0aa,f40e9ebfecae7f17a7b445f9206a3ca9e4d6e57a,#179 Add Bing unicode testing,,25,25
tests/test_unicode.py,test_unicode.py,d2eec248d0202b1c9e104159f55509bc0386b0aa,f40e9ebfecae7f17a7b445f9206a3ca9e4d6e57a,#179 Add Bing unicode testing,,2,3
geocoder/google.py,google.py,c370d5db07d1e22501dd59b32bab849a343f7d01,d2eec248d0202b1c9e104159f55509bc0386b0aa,#176 Add URL to sign,,47,47
geocoder/__init__.py,__init__.py,02cd5e92d3198622d47a3b876949f517ead9a59a,c370d5db07d1e22501dd59b32bab849a343f7d01,#180 Add --key option to CLI,,0,0
geocoder/cli.py,cli.py,02cd5e92d3198622d47a3b876949f517ead9a59a,c370d5db07d1e22501dd59b32bab849a343f7d01,#180 Add --key option to CLI,,8,8
geocoder/cli.py,cli.py,4c965abc38f3b8686ae98b53bf49028275605b20,02cd5e92d3198622d47a3b876949f517ead9a59a,Removed Google Rate limit,,8,8
geocoder/google.py,google.py,4c965abc38f3b8686ae98b53bf49028275605b20,02cd5e92d3198622d47a3b876949f517ead9a59a,Removed Google Rate limit,,47,46
geocoder/google_timezone.py,google_timezone.py,4c965abc38f3b8686ae98b53bf49028275605b20,02cd5e92d3198622d47a3b876949f517ead9a59a,Removed Google Rate limit,,9,9
geocoder/__init__.py,__init__.py,7efa73676adbbbe218b9326073bb03feea04d644,4c965abc38f3b8686ae98b53bf49028275605b20,Version change 1.8.2,,0,0
docs/providers/CanadaPost.rst,CanadaPost.rst,1a4ab8b626e79c8448c974a6c569a216e9112f74,7efa73676adbbbe218b9326073bb03feea04d644,Improvements for CanadaPost provider,,0,0
geocoder/__init__.py,__init__.py,1a4ab8b626e79c8448c974a6c569a216e9112f74,7efa73676adbbbe218b9326073bb03feea04d644,Improvements for CanadaPost provider,,0,0
geocoder/api.py,api.py,1a4ab8b626e79c8448c974a6c569a216e9112f74,7efa73676adbbbe218b9326073bb03feea04d644,Improvements for CanadaPost provider,,35,35
geocoder/canadapost.py,canadapost.py,1a4ab8b626e79c8448c974a6c569a216e9112f74,7efa73676adbbbe218b9326073bb03feea04d644,Improvements for CanadaPost provider,,27,30
tests/test_geocoder.py,test_geocoder.py,1a4ab8b626e79c8448c974a6c569a216e9112f74,7efa73676adbbbe218b9326073bb03feea04d644,Improvements for CanadaPost provider,,27,28
geocoder/canadapost.py,canadapost.py,ac69956acf36fa55e2f020e5f0d28e598d0bdec8,1a4ab8b626e79c8448c974a6c569a216e9112f74,Remove print log Canadapost,,30,30
geocoder/canadapost.py,canadapost.py,682503294e5ef5d09d6885959080edd8ef916b65,ac69956acf36fa55e2f020e5f0d28e598d0bdec8,Change regex CanadaPost,,30,31
,tamu.py,b562c1181a32ea1bb824b8a9419051d02b555e5e,682503294e5ef5d09d6885959080edd8ef916b65,add provider - Texas A&M University GeoServices,,,
geocoder/__init__.py,__init__.py,bbf56f5e81e87f93dbf4a20c0941a6f3c6ca80ba,b562c1181a32ea1bb824b8a9419051d02b555e5e,"tamu provider support: keys, api, __init__",,0,0
geocoder/api.py,api.py,bbf56f5e81e87f93dbf4a20c0941a6f3c6ca80ba,b562c1181a32ea1bb824b8a9419051d02b555e5e,"tamu provider support: keys, api, __init__",,35,35
geocoder/keys.py,keys.py,bbf56f5e81e87f93dbf4a20c0941a6f3c6ca80ba,b562c1181a32ea1bb824b8a9419051d02b555e5e,"tamu provider support: keys, api, __init__",,0,0
geocoder/tamu.py,tamu.py,94cdfd1b469edba15249e1ae048962325f4bbdb0,bbf56f5e81e87f93dbf4a20c0941a6f3c6ca80ba,rm errant call to external key,,57,57
geocoder/api.py,api.py,0fcaa7e6c9817a9883c36767d53361f587cf10d1,94cdfd1b469edba15249e1ae048962325f4bbdb0,add tamu wrapper to api.py,,35,36
tests/test_geocoder.py,test_geocoder.py,68b4cdd549d3912aa557cb1a03bf5bb73e2a9af5,0fcaa7e6c9817a9883c36767d53361f587cf10d1,add tamu test,,28,29
geocoder/tamu.py,tamu.py,471f9cf88766ac12e5b19b2e98f2d6ad32ab8e87,68b4cdd549d3912aa557cb1a03bf5bb73e2a9af5,python3 fix,,57,57
README.md,README.md,accb33f1c1ae9e090a36ca5e6b998a56b69dd1f1,471f9cf88766ac12e5b19b2e98f2d6ad32ab8e87,add Tamu provider line to readme,"diff --git a/README.md b/README.md
index 879fb77..3fe3f91 100644
--- a/README.md
+++ b/README.md
@@ -134,6 +134,7 @@ Providers
 | [MaxMind][MaxMind]             | World         |                                 |
 | [OpenCage][OpenCage]           | World         | API key                         |
 | [OpenStreetMap][OpenStreetMap] | World         | [Policy][OpenStreetMap-Policy]  |
+| [Tamu][Tamu]                   | US            | API key                         |
 | [TomTom][TomTom]               | World         | API key                         |
 | [What3Words][What3Words]       | World         | API key                         |
 | [Yahoo][Yahoo]                 | World         |                                 |",0,0
geocoder/tamu.py,tamu.py,a448d4dd57f07ae1d24dab54ccce93ee5434a42f,accb33f1c1ae9e090a36ca5e6b998a56b69dd1f1,fix key handling,,57,57
